CHEMICALS,EXPLOSIVES,1
CHEMICALS,HYDROGEN FUEL,2
CHEMICALS,MINERAL OIL,3
CHEMICALS,PESTICIDES,4
CONSUMER ITEMS,CLOTHING,1
CONSUMER ITEMS,CONSUMER TECHNOLOGY,2
CONSUMER ITEMS,DOMESTIC APPLIANCES,3
FOODS,ALGAE,1
FOODS,ANIMAL MEAT,2
FOODS,COFFEE,3
FOODS,FISH,4
FOODS,FOOD CARTRIDGES,5
FOODS,FRUIT AND VEGETABLES,6
FOODS,GRAIN,7
FOODS,SYNTHETIC MEAT,8
FOODS,TEA,9
INDUSTRIAL MATERIALS,POLYMERS,1
INDUSTRIAL MATERIALS,SEMICONDUCTORS,2
INDUSTRIAL MATERIALS,SUPERCONDUCTORS,3
LEGAL DRUGS,BEER,1
LEGAL DRUGS,LIQUOR,2
LEGAL DRUGS,NARCOTICS,3
LEGAL DRUGS,TOBACCO,4
LEGAL DRUGS,WINE,5
MACHINERY,ATMOSPHERIC PROCESSORS,1
MACHINERY,CROP HARVESTERS,2
MACHINERY,MARINE EQUIPMENT,3
MACHINERY,MICROBIAL FURNACES,4
MACHINERY,MINERAL EXTRACTORS,5
MACHINERY,POWER GENERATORS,6
MACHINERY,WATER PURIFIERS,7
MEDICINES,AGRI-MEDICINES,1
MEDICINES,BASIC MEDICINES,2
MEDICINES,COMBAT STABILISERS,3
MEDICINES,PERFORMANCE ENHANCERS,4
MEDICINES,PROGENITOR CELLS,5
METALS,ALUMINIUM,1
METALS,BERYLLIUM,2
METALS,COBALT,3
METALS,COPPER,4
METALS,GALLIUM,5
METALS,GOLD,6
METALS,INDIUM,7
METALS,LITHIUM,8
METALS,PALLADIUM,9
METALS,PLATINUM,10
METALS,SILVER,11
METALS,TANTALUM,12
METALS,TITANIUM,13
METALS,URANIUM,14
MINERALS,BAUXITE,1
MINERALS,BERTRANDITE,2
MINERALS,COLTAN,3
MINERALS,GALLITE,4
MINERALS,INDITE,5
MINERALS,LEPIDOLITE,6
MINERALS,RUTILE,7
MINERALS,URANINITE,8
SLAVERY,IMPERIAL SLAVES,1
SLAVERY,SLAVES,2
TECHNOLOGY,ADVANCED CATALYSERS,1
TECHNOLOGY,ANIMAL MONITORS,2
TECHNOLOGY,AQUAPONIC SYSTEMS,3
TECHNOLOGY,AUTO-FABRICATORS,4
TECHNOLOGY,BIOREDUCING LICHEN,5
TECHNOLOGY,COMPUTER COMPONENTS,6
TECHNOLOGY,H.E. SUITS,7
TECHNOLOGY,LAND ENRICHMENT SYSTEMS,8
TECHNOLOGY,RESONATING SEPARATORS,9
TECHNOLOGY,ROBOTICS,10
TEXTILES,LEATHER,1
TEXTILES,NATURAL FABRICS,2
TEXTILES,SYNTHETIC FABRICS,3
WASTE,BIOWASTE,1
WASTE,CHEMICAL WASTE,2
WASTE,SCRAP,3
WEAPONS,BATTLE WEAPONS,1
WEAPONS,NON-LETHAL WEAPONS,2
WEAPONS,PERSONAL WEAPONS,3
WEAPONS,REACTIVE ARMOUR,4
